cold_within1,cold_within1_std,dataset,description,exact,exact_std,group,mae,mae_std,n,pred_avg,revenue,revenue_std,rmse,rmse_std,variant,warm_within1,warm_within1_std,within1,within1_std
,,warm_loo,always predict 4,38.75,,warm_component,0.767,,2000,4.0,9728.80000000005,,1.066302021005306,,constant_4,,,87.6,
,,warm_loo,user mean only,41.9,,warm_component,0.7085,,2000,3.6415,10272.70000000005,,0.9972462083156797,,user_mean,,,88.64999999999999,
,,warm_loo,user mean + public score,44.800000000000004,,warm_component,0.6405,,2000,3.5855,10864.000000000033,,0.9135097153287425,,user_mean+public,,,92.0,
,,warm_loo,tag neighbor + user mean,42.55,,warm_component,0.7105,,2000,3.5905,10353.900000000049,,1.0087120500916007,,tag_neighbor,,,88.05,
,,warm_loo,tag neighbor + same director,42.75,,warm_component,0.708,,2000,3.592,10387.80000000005,,1.0069756700139283,,tag+director,,,88.1,
,,warm_loo,add public-score blend,44.1,,warm_component,0.65,,2000,3.557,10742.500000000033,,0.9219544457292888,,tag+director+public,,,91.75,
,,warm_loo,full tag+director+public+range clamp,44.05,,warm_component,0.6505,,2000,3.5575,10734.500000000033,,0.9222255689363639,,final,,,91.75,
,,warm_loo_sensitivity,full tag+director+public+range clamp,44.05,,warm_component,0.6505,,2000,3.5575,10734.500000000033,,0.9222255689363639,,final,,,91.75,
,,warm_loo_sensitivity,final without same-director bonus,44.15,,sensitivity,0.6495,,2000,3.5585,10750.500000000033,,0.9216832427683602,,no_director,,,91.75,
,,warm_loo_sensitivity,final without public-score blend,42.75,,sensitivity,0.708,,2000,3.592,10387.80000000005,,1.0069756700139283,,no_public,,,88.1,
,,warm_loo_sensitivity,final without user-range guardrails,44.1,,sensitivity,0.65,,2000,3.557,10742.500000000033,,0.9219544457292888,,no_range_clamp,,,91.75,
,,warm_loo_sensitivity,final with ordinary rounding,44.95,,sensitivity,0.6425,,2000,3.6015,10878.500000000033,,0.9200543462209175,,normal_round,,,91.75,
,,warm_loo_sensitivity,public weight 0.10,43.35,,sensitivity,0.6855,,2000,3.5705,10537.000000000044,,0.9764732459212593,,public_w0.10,,,89.5,
,,warm_loo_sensitivity,public weight 0.40,43.7,,sensitivity,0.6455,,2000,3.5335,10708.900000000029,,0.9096702699330126,,public_w0.40,,,92.55,
,,warm_loo_sensitivity,neighbor confidence cap 0.40,44.65,,sensitivity,0.644,,2000,3.566,10834.300000000032,,0.9186947262284682,,conf_cap0.40,,,91.85,
,,warm_loo_sensitivity,neighbor confidence cap 0.80,44.15,,sensitivity,0.655,,2000,3.559,10731.500000000036,,0.9311283477587824,,conf_cap0.80,,,91.25,
,,warm_loo_sensitivity,neighbor confidence divisor 4,43.8,,sensitivity,0.654,,2000,3.558,10694.500000000033,,0.9262828941527529,,conf_div4,,,91.75,
,,warm_loo_sensitivity,neighbor confidence divisor 8,43.95,,sensitivity,0.6515,,2000,3.5595,10720.400000000032,,0.9233092656309694,,conf_div8,,,91.8,
,,cold_loo,always predict 4,38.75,,cold,0.767,,2000,4.0,9728.80000000005,,1.066302021005306,,cold_constant_4,,,87.6,
,,cold_loo,global mean prior 3.65,38.75,,cold,0.767,,2000,4.0,9728.80000000005,,1.066302021005306,,cold_global_mean,,,87.6,
,,cold_loo,round public score / 2,35.25,,cold,0.8725,,2000,3.4705,8937.000000000055,,1.186802426691149,,cold_public_half,,,81.5,
,,cold_loo,final cold public-score buckets,41.4,,cold,0.717,,2000,3.736,10173.700000000043,,1.0019980039900278,,cold_bucket,,,88.14999999999999,
,,cold_loo,bucket map with ordinary rounding,41.949999999999996,,cold,0.71,,2000,3.814,10278.800000000045,,1.0,,cold_bucket_normal_round,,,88.6,
,,released_test_proxy,user mean only,38.0,,warm_component,0.81,,100,3.57,473.6000000000002,,1.118033988749895,,user_mean,,,84.0,
,,released_test_proxy,tag neighbor + user mean,39.0,,warm_component,0.8,,100,3.56,481.60000000000025,,1.1135528725660044,,tag_neighbor,,,84.0,
,,released_test_proxy,tag neighbor + same director,39.0,,warm_component,0.8,,100,3.56,481.60000000000025,,1.1135528725660044,,tag+director,,,84.0,
,,released_test_proxy,add public-score blend,41.0,,warm_component,0.74,,100,3.52,503.3000000000002,,1.0392304845413265,,tag+director+public,,,87.0,
,,released_test_proxy,full tag+director+public+range clamp,41.0,,warm_component,0.74,,100,3.52,503.3000000000002,,1.0392304845413265,,final,,,87.0,
,,released_test_proxy,final without public-score blend,39.0,,sensitivity,0.8,,100,3.56,481.60000000000025,,1.1135528725660044,,no_public,,,84.0,
,,released_test_proxy,final with ordinary rounding,42.0,,sensitivity,0.73,,100,3.61,511.3000000000002,,1.03440804327886,,normal_round,,,87.0,
84.16666666666667,3.4860834438919834,cv_official_like,always predict 4,33.8,5.3572380943915485,warm_component,0.85,0.07348469228349531,100,,439.62000000000006,44.12977452922234,1.1288046705966241,0.06892038558408033,constant_4,83.6842105263158,2.390250279550654,83.8,1.9235384061671343
